n	f(n)	n*n	n*log(n)
0	0	String	nan
5	15	25	8.0471895621705
10	55	100	23.02585092994
15	120	225	40.620753016533
20	210	400	59.91464547108
25	325	625	80.471895621705
30	465	900	102.03592144986
35	630	1225	124.43718215213
40	820	1600	147.55517816456
45	1035	2025	171.29981203966
50	1275	2500	195.60115027141
55	1540	3025	220.40332518779
60	1830	3600	245.66067373333
65	2145	nan	    271.33517254322
70	2485	4900	297.39466694346
75	2850	5625	323.81160851522
80	3240	6400	350.56213077391
85	3655	7225	377.62535680168
90	4095	8100	404.98287032972
95	4560	9025	432.61830470205
100	5050	10000	460.51701859881

Muwahahahah i am evil and i am attempting to <script>stuff goes here</script> muwahaha!!!
Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 Test 2 
